recipe_name,ingredients,location,restaurant_type,cuisine_type,dish_category,price_point,price_range,cooking_method,spice_level,dietary_tags,preparation_time,instructions,launch_date,season,neighborhood_type,population_density,area_income_level,region,avg_monthly_sales,customer_rating,review_count,profit_margin,food_cost,success
Chef's Mishti Doi,"spices, mustard seeds, lime, herbs",Goa India,fast_food,bengali,beverage,6.53,budget,grilled,mild,none,11,,2023-06-02,summer,business_district,low,medium,india,533,4.0,101,0.44,4.2,1
Deluxe Sandesh,"lime, oil, prawns, garlic",Seattle WA,cafe,bengali,dessert,13.84,mid_range,sauteed,hot,none,17,,2023-07-04,summer,residential,medium,high,north_america,120,4.2,26,0.53,6.69,1
Punjabi Kadhi,"lime, oil, wheat flour, vegetables, green chilies",Birmingham UK,fast_food,punjabi,dessert,9.91,budget,fried,hot,"dairy_free,keto",14,,2023-12-01,winter,business_district,high,medium,europe,604,4.5,80,0.51,5.82,1
Signature Vada Pav,"oil, butter, ginger garlic, onions, herbs, pav bread",Goa India,food_truck,maharashtrian,main_course,4.32,budget,roasted,very_hot,"mild,high_protein,gluten_free",45,,2022-09-10,fall,business_district,low,medium,india,142,4.0,30,0.44,2.89,1
Signature Nachos,"avocado, cilantro, onion, pepper, butter",Austin TX,food_truck,mexican,side_dish,6.4,budget,steamed,hot,none,44,,2022-04-28,spring,tourist_area,medium,medium,north_america,120,3.9,22,0.49,3.85,1
Peking Duck,"butter, salt, ginger, chili, garlic, vegetables, rice, sesame oil",Leicester UK,fine_dining,chinese,side_dish,27.24,upscale,baked,very_hot,none,29,,2023-01-07,winter,suburban,medium,medium,europe,138,5.0,16,0.49,11.54,1
House Special Indian Pizza,"oil, cheese, specialty sauces, herbs, unique toppings, cream, butter, spices",Jaipur India,casual_dining,fusion,dessert,9.74,budget,steamed,very_hot,none,31,,2022-03-07,spring,downtown,medium,low,india,172,4.4,17,0.52,3.86,1
Chef's Churros,"butter, chili peppers, salt, chicken, cheese, pepper, lemon",Chicago IL,fast_food,mexican,beverage,9.61,budget,fried,mild,none,37,,2022-12-29,winter,residential,high,medium,north_america,282,4.4,83,0.44,5.15,1
Gujarati Thali,"coriander, lemon, ginger, yogurt, oil",Delhi India,fast_food,gujarati,appetizer,9.57,budget,steamed,mild,none,10,,2023-07-08,summer,downtown,very_high,medium,india,404,4.0,79,0.47,4.86,1
Premium Fried Chicken,"vegetables, chicken, pepper, onions, butter, seasonings",Los Angeles CA,casual_dining,american,main_course,19.59,mid_range,grilled,mild,"vegetarian,mild",43,,2023-05-30,spring,suburban,high,high,north_america,295,4.3,40,0.55,9.33,1
Butter Naan,"kidney beans, ginger, yogurt, green chilies, cream, lemon, wheat flour, salt",Toronto Canada,cafe,punjabi,dessert,5.9,budget,fried,hot,"gluten_free,keto,high_protein",14,,2024-02-09,winter,downtown,high,high,north_america,179,4.6,20,0.45,2.96,1
House Special Karimeen Fish,"jaggery, green chilies, cardamom, lime, cream, oil",Bangalore India,fast_food,kerala,appetizer,11.23,budget,fried,hot,none,45,,2024-01-31,winter,suburban,high,medium,india,323,4.1,45,0.49,5.15,1
Enchiladas,"lime, corn tortillas, beef, salt, herbs, chicken",Pune India,fine_dining,mexican,main_course,26.5,upscale,roasted,very_hot,"nut_free,vegetarian,vegan",19,,2023-12-09,winter,business_district,high,medium,india,121,4.9,15,0.45,13.39,1
Rajma Chawal,"ginger, herbs, onion, butter, onions, yogurt, potatoes, ghee",Los Angeles CA,fine_dining,punjabi,main_course,28.18,upscale,roasted,hot,"mild,dairy_free,keto",16,,2023-12-20,winter,residential,high,high,north_america,153,4.8,40,0.56,11.38,1
Thepla,"ginger, hing, cumin seeds, mustard seeds",Toronto Canada,casual_dining,gujarati,beverage,8.81,budget,roasted,hot,none,21,,2022-09-25,fall,business_district,high,high,north_america,207,4.2,45,0.49,4.99,1
Signature Masala Corn,"sev, chaat masala, herbs, butter, vegetables, cream, lime",Kolkata India,food_truck,indian_street_food,dessert,6.6,budget,sauteed,hot,none,42,,2022-11-04,fall,tourist_area,very_high,medium,india,110,4.1,17,0.4,3.81,1
Samosa Chaat,"garlic, butter, cream, mint chutney, oil, coriander",Chennai India,casual_dining,indian_street_food,beverage,18.7,mid_range,steamed,medium,"gluten_free,vegan,keto",31,,2023-10-11,fall,downtown,high,medium,india,390,4.5,63,0.61,6.22,1
Guacamole,"butter, pepper, chicken, chili peppers, cheese, onion, beef, vegetables",Los Angeles CA,casual_dining,mexican,appetizer,18.04,mid_range,raw,mild,"dairy_free,gluten_free,nut_free",25,,2023-07-25,summer,downtown,high,high,north_america,292,4.8,86,0.57,9.12,1
Hummus Plate,"olive oil, spices, olives, herbs, oregano, tahini, pepper",Hyderabad India,food_truck,mediterranean,beverage,6.57,budget,roasted,medium,"high_protein,vegan",27,,2022-08-29,summer,tourist_area,high,medium,india,138,3.8,17,0.45,3.11,1
Chicken 65,"lime, spices, vegetables, garlic, chicken, ginger garlic, herbs",San Francisco CA,fast_food,indo_chinese,beverage,8.77,budget,grilled,hot,"low_carb,mild",44,,2024-01-23,winter,business_district,high,high,north_america,585,4.1,109,0.45,4.53,1
Hummus Plate,"cucumbers, oregano, tahini, lime, garlic, butter, pepper, olives",London UK,cafe,mediterranean,main_course,5.96,budget,grilled,hot,"paleo,dairy_free,high_protein",34,,2024-02-19,winter,tourist_area,high,high,europe,225,4.3,60,0.51,3.22,1
Nachos,"corn tortillas, lemon, butter, spices",Los Angeles CA,fine_dining,mexican,side_dish,38.39,upscale,fried,medium,high_protein,23,,2023-08-01,summer,residential,high,high,north_america,202,4.9,44,0.65,14.52,1
Mac and Cheese,"vegetables, butter, onion, lemon, cheese, oil, bread",Seattle WA,fine_dining,american,side_dish,31.94,upscale,raw,mild,none,33,,2023-03-15,spring,downtown,medium,high,north_america,123,4.5,22,0.55,14.12,1
Fried Rice,"herbs, cornflour, rice, pepper, vegetables, lemon",Bangalore India,cafe,indo_chinese,dessert,5.67,budget,raw,medium,none,25,,2023-04-07,spring,residential,high,medium,india,185,4.1,19,0.56,2.19,1
Bharli Vangi,"besan, rice flour, potatoes, onions, ginger garlic, salt",San Francisco CA,fine_dining,maharashtrian,beverage,71.72,luxury,steamed,medium,"mild,high_protein,spicy",28,,2022-04-06,spring,suburban,high,high,north_america,101,4.7,21,0.52,34.75,1
Deluxe Beef Curry,"salt, green chilies, fish, oil, rice",Kolkata India,food_truck,kerala,main_course,5.98,budget,fried,medium,"keto,spicy,nut_free",22,,2022-04-13,spring,tourist_area,very_high,medium,india,86,3.9,20,0.39,2.97,1
Aloo Gobi,"onion, tomatoes, turmeric, lemon, cream, garam masala, pepper",Los Angeles CA,food_truck,north_indian,dessert,7.11,budget,fried,mild,"high_protein,vegan",41,,2023-02-15,winter,downtown,high,high,north_america,165,3.8,21,0.5,3.27,1
Pinni,"mustard greens, yogurt, ginger, potatoes, spices, chickpeas, lime",Toronto Canada,fast_food,punjabi,main_course,6.1,budget,roasted,medium,"mild,vegan",45,,2022-06-27,summer,downtown,high,high,north_america,472,4.1,103,0.46,2.97,1
Deluxe Enchiladas,"butter, cilantro, cheese, lemon, beef, onion, salt, chili peppers",Birmingham UK,fine_dining,mexican,appetizer,76.85,luxury,grilled,medium,"spicy,mild",17,,2023-03-26,spring,residential,high,medium,europe,185,4.9,28,0.56,33.02,1
Signature Mumbai Street Food,"spices, herbs, rice flour, butter, kokum",Kochi India,fast_food,maharashtrian,main_course,8.05,budget,steamed,very_hot,"gluten_free,spicy",15,,2023-05-19,spring,residential,medium,medium,india,441,4.0,53,0.44,4.34,1
Deluxe Lasagna,"salt, olive oil, pasta, tomatoes, basil, pepper",Pune India,fine_dining,italian,side_dish,47.5,luxury,steamed,very_hot,none,41,,2023-01-06,winter,residential,high,medium,india,106,4.9,13,0.53,25.86,1
